,Team,date,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
139,Sunrisers Hyderabad,2017/05/02,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
140,Mumbai Indians,2022/04/06,RG Sharma,Ishan Kishan,D Brevis,SA Yadav,Tilak Varma,KA Pollard,DR Sams,M Ashwin,TS Mills,JJ Bumrah,Basil Thampi
141,Kolkata Knight Riders,2022/04/06,AM Rahane,VR Iyer,SS Iyer,SW Billings,N Rana,AD Russell,PJ Cummins,SP Narine,Rasikh Salam,UT Yadav,CV Varun
142,Delhi Daredevils,2016/05/20,Q de Kock,RR Pant,KK Nair,JP Duminy,CR Brathwaite,SV Samson,P Negi,A Mishra,Z Khan,J Yadav,NM Coulter-Nile
143,Sunrisers Hyderabad,2016/05/20,DA Warner,S Dhawan,DJ Hooda,Yuvraj Singh,MC Henriques,EJG Morgan,NV Ojha,B Kumar,KV Sharma,Mustafizur Rahman,BB Sran
144,Chennai Super Kings,2013/04/15,S Anirudha,M Vijay,SK Raina,S Badrinath,RA Jadeja,MS Dhoni,DJ Bravo,JA Morkel,CH Morris,R Ashwin,DP Nannes
145,Pune Warriors,2013/04/15,RV Uthappa,AJ Finch,LRPL Taylor,SPD Smith,MR Marsh,MK Pandey,AM Nayar,TL Suman,B Kumar,R Sharma,AB Dinda
146,Chennai Super Kings,2009/04/30,PA Patel,ML Hayden,SK Raina,S Badrinath,JDP Oram,MS Dhoni,JA Morkel,S Tyagi,SB Jakati,L Balaji,M Muralitharan
147,Rajasthan Royals,2009/04/30,RJ Quiney,GC Smith,SA Asnodkar,RA Jadeja,YK Pathan,AD Mascarenhas,SK Warne,M Rawat,MM Patel,SK Trivedi,Kamran Khan
148,Rajasthan Royals,2022/05/29,YBK Jaiswal,JC Buttler,SV Samson,D Padikkal,SO Hetmyer,R Ashwin,R Parag,TA Boult,OC McCoy,M Prasidh Krishna,YS Chahal
149,Gujarat Titans,2022/05/29,WP Saha,Shubman Gill,MS Wade,HH Pandya,DA Miller,R Tewatia,Rashid Khan,R Sai Kishore,LH Ferguson,Yash Dayal,Mohammed Shami
150,Kolkata Knight Riders,2011/05/22,JH Kallis,SP Goswami,G Gambhir,MK Tiwary,YK Pathan,RN ten Doeschate,R Bhatia,Shakib Al Hasan,B Lee,L Balaji,Iqbal Abdulla
151,Mumbai Indians,2011/05/22,TL Suman,SR Tendulkar,Harbhajan Singh,RG Sharma,KA Pollard,JEC Franklin,AT Rayudu,R Sathish,AN Ahmed,RW Price,SL Malinga
152,Delhi Daredevils,2017/05/06,SV Samson,KK Nair,SS Iyer,RR Pant,CJ Anderson,MN Samuels,PJ Cummins,K Rabada,A Mishra,Mohammed Shami,Z Khan
153,Mumbai Indians,2017/05/06,LMP Simmons,PA Patel,KA Pollard,RG Sharma,HH Pandya,N Rana,KV Sharma,Harbhajan Singh,MJ McClenaghan,SL Malinga,JJ Bumrah
154,Deccan Chargers,2008/05/01,AC Gilchrist,VVS Laxman,HH Gibbs,RG Sharma,Shahid Afridi,Y Venugopal Rao,SB Bangar,DNT Zoysa,D Kalyankrishna,RP Singh,PP Ojha
155,Kings XI Punjab,2008/05/01,SE Marsh,RR Sarwan,KC Sangakkara,Yuvraj Singh,DPMD Jayawardene,K Goel,IK Pathan,PP Chawla,S Sreesanth,VRV Singh,Gagandeep Singh
156,Mumbai Indians,2019/04/03,Q de Kock,RG Sharma,SA Yadav,Yuvraj Singh,KH Pandya,HH Pandya,KA Pollard,JP Behrendorff,RD Chahar,SL Malinga,JJ Bumrah
157,Chennai Super Kings,2019/04/03,SR Watson,AT Rayudu,SK Raina,KM Jadhav,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,SN Thakur,MM Sharma,Imran Tahir
158,Rajasthan Royals,2014/05/08,AM Rahane,KK Nair,SV Samson,SR Watson,STR Binny,SPD Smith,R Bhatia,JP Faulkner,KW Richardson,DS Kulkarni,PV Tambe
159,Sunrisers Hyderabad,2014/05/08,S Dhawan,AJ Finch,KL Rahul,NV Ojha,DA Warner,MC Henriques,IK Pathan,KV Sharma,DW Steyn,A Mishra,B Kumar
160,Kings XI Punjab,2016/05/15,HM Amla,M Vijay,WP Saha,Gurkeerat Singh,DA Miller,GJ Maxwell,MP Stoinis,AR Patel,MM Sharma,Sandeep Sharma,Anureet Singh
161,Sunrisers Hyderabad,2016/05/15,DA Warner,S Dhawan,DJ Hooda,Yuvraj Singh,BCJ Cutting,MC Henriques,NV Ojha,KV Sharma,B Kumar,A Nehra,Mustafizur Rahman
162,Mumbai Indians,2018/04/12,RG Sharma,E Lewis,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,BCJ Cutting,PJ Sangwan,M Markande,JJ Bumrah,Mustafizur Rahman
163,Sunrisers Hyderabad,2018/04/12,WP Saha,S Dhawan,KS Williamson,MK Pandey,Shakib Al Hasan,DJ Hooda,YK Pathan,Rashid Khan,S Kaul,Sandeep Sharma,B Stanlake
164,Royal Challengers Bangalore,2020/10/28,JR Philippe,D Padikkal,V Kohli,AB de Villiers,S Dube,CH Morris,Gurkeerat Singh,Washington Sundar,YS Chahal,Mohammed Siraj,DW Steyn
165,Mumbai Indians,2020/10/28,Q de Kock,Ishan Kishan,SA Yadav,SS Tiwary,KH Pandya,HH Pandya,KA Pollard,JL Pattinson,RD Chahar,TA Boult,JJ Bumrah
166,Kolkata Knight Riders,2019/04/28,Shubman Gill,CA Lynn,AD Russell,KD Karthik,SP Narine,RV Uthappa,N Rana,RK Singh,PP Chawla,HF Gurney,S Sandeep Warrier
167,Mumbai Indians,2019/04/28,Q de Kock,RG Sharma,E Lewis,SA Yadav,KA Pollard,HH Pandya,KH Pandya,BB Sran,RD Chahar,SL Malinga,JJ Bumrah
168,Sunrisers Hyderabad,2017/05/08,DA Warner,S Dhawan,MC Henriques,Yuvraj Singh,V Shankar,Mohammad Nabi,NV Ojha,B Kumar,Rashid Khan,S Kaul,Mohammed Siraj
169,Mumbai Indians,2017/05/08,LMP Simmons,PA Patel,N Rana,RG Sharma,HH Pandya,KA Pollard,KV Sharma,Harbhajan Singh,MJ McClenaghan,JJ Bumrah,SL Malinga
170,Delhi Daredevils,2015/04/12,MA Agarwal,SS Iyer,JP Duminy,Yuvraj Singh,AD Mathews,MK Tiwary,KM Jadhav,NM Coulter-Nile,A Mishra,Imran Tahir,JD Unadkat
171,Rajasthan Royals,2015/04/12,AM Rahane,SV Samson,SPD Smith,KK Nair,STR Binny,DJ Hooda,JP Faulkner,CH Morris,TG Southee,DS Kulkarni,PV Tambe
172,Kolkata Knight Riders,2021/04/24,N Rana,Shubman Gill,RA Tripathi,SP Narine,EJG Morgan,KD Karthik,AD Russell,PJ Cummins,Shivam Mavi,M Prasidh Krishna,CV Varun
173,Rajasthan Royals,2021/04/24,JC Buttler,YBK Jaiswal,SV Samson,S Dube,R Tewatia,DA Miller,R Parag,CH Morris,JD Unadkat,C Sakariya,Mustafizur Rahman
174,Mumbai Indians,2016/05/08,RG Sharma,PA Patel,AT Rayudu,KH Pandya,JC Buttler,KA Pollard,HH Pandya,Harbhajan Singh,TG Southee,MJ McClenaghan,JJ Bumrah
175,Sunrisers Hyderabad,2016/05/08,DA Warner,S Dhawan,KS Williamson,Yuvraj Singh,MC Henriques,DJ Hooda,NV Ojha,B Kumar,BB Sran,A Nehra,Mustafizur Rahman
176,Mumbai Indians,2014/04/30,BR Dunk,RG Sharma,CJ Anderson,AT Rayudu,KA Pollard,AP Tare,Harbhajan Singh,CM Gautam,Z Khan,PP Ojha,SL Malinga
177,Sunrisers Hyderabad,2014/04/30,AJ Finch,S Dhawan,KL Rahul,DA Warner,DJG Sammy,NV Ojha,IK Pathan,KV Sharma,DW Steyn,A Mishra,B Kumar
178,Sunrisers Hyderabad,2013/05/04,PA Patel,S Dhawan,A Ashish Reddy,DJG Sammy,KC Sangakkara,GH Vihari,NLTC Perera,KV Sharma,A Mishra,DW Steyn,I Sharma
179,Delhi Daredevils,2013/05/04,DPMD Jayawardene,V Sehwag,UBT Chand,DA Warner,BMAJ Mendis,KM Jadhav,IK Pathan,J Botha,S Nadeem,A Nehra,UT Yadav
180,Rajasthan Royals,2008/05/04,GC Smith,SA Asnodkar,YK Pathan,SR Watson,M Rawat,M Kaif,RA Jadeja,SK Warne,Sohail Tanvir,SK Trivedi,MM Patel
181,Chennai Super Kings,2008/05/04,PA Patel,SP Fleming,S Vidyut,SK Raina,S Badrinath,MS Dhoni,JA Morkel,Joginder Sharma,MS Gony,M Muralitharan,M Ntini
182,Kolkata Knight Riders,2017/04/21,SP Narine,G Gambhir,RV Uthappa,MK Pandey,YK Pathan,SA Yadav,Shakib Al Hasan,CR Woakes,NM Coulter-Nile,Kuldeep Yadav,UT Yadav
183,Gujarat Lions,2017/04/21,AJ Finch,BB McCullum,SK Raina,KD Karthik,Ishan Kishan,DR Smith,RA Jadeja,JP Faulkner,P Kumar,Basil Thampi,DS Kulkarni
184,Pune Warriors,2012/05/03,RV Uthappa,JD Ryder,MJ Clarke,SC Ganguly,SPD Smith,M Manhas,WD Parnell,B Kumar,M Kartik,A Nehra,AB Dinda
185,Mumbai Indians,2012/05/03,JEC Franklin,SR Tendulkar,RG Sharma,RJ Peterson,KD Karthik,AT Rayudu,NLTC Perera,Harbhajan Singh,SL Malinga,PP Ojha,MM Patel
186,Mumbai Indians,2012/04/16,RE Levi,DJ Jacobs,RG Sharma,AT Rayudu,KA Pollard,KD Karthik,Harbhajan Singh,CJ McKay,RP Singh,PP Ojha,MM Patel
187,Delhi Daredevils,2012/04/16,NV Ojha,V Sehwag,KP Pietersen,DPMD Jayawardene,LRPL Taylor,IK Pathan,Y Nagar,AB Agarkar,M Morkel,UT Yadav,S Nadeem
188,Royal Challengers Bangalore,2021/09/24,V Kohli,D Padikkal,AB de Villiers,GJ Maxwell,TH David,HV Patel,PWH de Silva,KS Bharat,NA Saini,Mohammed Siraj,YS Chahal
189,Chennai Super Kings,2021/09/24,RD Gaikwad,F du Plessis,MM Ali,AT Rayudu,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,SN Thakur,DL Chahar,JR Hazlewood
190,Kolkata Knight Riders,2021/04/29,N Rana,Shubman Gill,RA Tripathi,EJG Morgan,SP Narine,AD Russell,KD Karthik,PJ Cummins,Shivam Mavi,CV Varun,M Prasidh Krishna
191,Delhi Capitals,2021/04/29,PP Shaw,S Dhawan,RR Pant,MP Stoinis,SO Hetmyer,SPD Smith,Lalit Yadav,AR Patel,K Rabada,Avesh Khan,I Sharma
192,Delhi Capitals,2021/04/15,PP Shaw,S Dhawan,AM Rahane,RR Pant,MP Stoinis,Lalit Yadav,TK Curran,CR Woakes,R Ashwin,K Rabada,Avesh Khan
193,Rajasthan Royals,2021/04/15,JC Buttler,M Vohra,SV Samson,S Dube,DA Miller,R Parag,R Tewatia,CH Morris,JD Unadkat,C Sakariya,Mustafizur Rahman
194,Mumbai Indians,2011/04/20,JEC Franklin,SR Tendulkar,AT Rayudu,RG Sharma,A Symonds,KA Pollard,R Sathish,AN Ahmed,AG Murtaza,MM Patel,SL Malinga
195,Pune Warriors,2011/04/20,JD Ryder,TD Paine,M Manhas,RV Uthappa,Yuvraj Singh,MD Mishra,M Kartik,WD Parnell,R Sharma,SB Wagh,AC Thomas
196,Chennai Super Kings,2013/05/14,MEK Hussey,M Vijay,SK Raina,MS Dhoni,RA Jadeja,DJ Bravo,S Badrinath,JA Morkel,R Ashwin,JO Holder,MM Sharma
197,Delhi Daredevils,2013/05/14,V Sehwag,UBT Chand,J Botha,DA Warner,KM Jadhav,BJ Rohrer,RE van der Merwe,IK Pathan,UT Yadav,A Nehra,S Kaul
198,Punjab Kings,2022/04/08,MA Agarwal,S Dhawan,JM Bairstow,LS Livingstone,JM Sharma,OF Smith,M Shahrukh Khan,K Rabada,RD Chahar,VG Arora,Arshdeep Singh
199,Gujarat Titans,2022/04/08,MS Wade,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,A Manohar,Rashid Khan,DG Nalkande,Mohammed Shami,LH Ferguson
200,Royal Challengers Bangalore,2008/04/28,B Chipli,W Jaffer,LRPL Taylor,JH Kallis,MV Boucher,V Kohli,R Dravid,P Kumar,Z Khan,B Akhil,DW Steyn
201,Chennai Super Kings,2008/04/28,PA Patel,ML Hayden,MEK Hussey,SK Raina,MS Dhoni,JDP Oram,S Badrinath,JA Morkel,Joginder Sharma,P Amarnath,MS Gony
202,Rajasthan Royals,2018/05/15,RA Tripathi,JC Buttler,AM Rahane,SV Samson,BA Stokes,STR Binny,K Gowtham,JD Unadkat,IS Sodhi,JC Archer,Anureet Singh
203,Kolkata Knight Riders,2018/05/15,SP Narine,CA Lynn,RV Uthappa,N Rana,KD Karthik,AD Russell,Shubman Gill,Shivam Mavi,JPR Scantlebury-Searles,Kuldeep Yadav,M Prasidh Krishna
204,Mumbai Indians,2014/05/25,LMP Simmons,MEK Hussey,CJ Anderson,KA Pollard,RG Sharma,AT Rayudu,AP Tare,Harbhajan Singh,S Gopal,PP Ojha,JJ Bumrah
205,Rajasthan Royals,2014/05/25,SR Watson,SV Samson,KK Nair,BJ Hodge,JP Faulkner,KK Cooper,AM Rahane,AM Nayar,Ankit Sharma,PV Tambe,DS Kulkarni
206,Pune Warriors,2011/05/16,JD Ryder,MK Pandey,SC Ganguly,RV Uthappa,Yuvraj Singh,M Manhas,CJ Ferguson,MR Marsh,WD Parnell,B Kumar,R Sharma
207,Deccan Chargers,2011/05/16,S Sohal,S Dhawan,KC Sangakkara,JP Duminy,DT Christian,B Chipli,DB Ravi Teja,PP Ojha,A Mishra,I Sharma,DW Steyn
208,Kolkata Knight Riders,2012/04/05,BB McCullum,JH Kallis,G Gambhir,MK Tiwary,YK Pathan,DB Das,LR Shukla,R Bhatia,B Lee,Iqbal Abdulla,M de Lange
209,Delhi Daredevils,2012/04/05,AJ Finch,V Sehwag,IK Pathan,GJ Maxwell,NV Ojha,Y Venugopal Rao,M Morkel,Y Nagar,RE van der Merwe,UT Yadav,S Nadeem
210,Kings XI Punjab,2010/04/02,SE Marsh,MS Bisla,KC Sangakkara,RS Bopara,Yuvraj Singh,IK Pathan,B Lee,PP Chawla,SJ Srivastava,Bipul Sharma,S Sreesanth
211,Royal Challengers Bangalore,2010/04/02,MK Pandey,JH Kallis,KP Pietersen,V Kohli,RV Uthappa,CL White,R Dravid,P Kumar,A Kumble,R Vinay Kumar,DW Steyn
212,Mumbai Indians,2018/05/16,SA Yadav,E Lewis,Ishan Kishan,RG Sharma,KH Pandya,KA Pollard,HH Pandya,BCJ Cutting,MJ McClenaghan,M Markande,JJ Bumrah
213,Kings XI Punjab,2018/05/16,KL Rahul,CH Gayle,AJ Finch,MP Stoinis,AR Patel,Yuvraj Singh,MK Tiwary,R Ashwin,AJ Tye,MM Sharma,AS Rajpoot
214,Chennai Super Kings,2010/03/14,M Vijay,ML Hayden,SK Raina,S Badrinath,JM Kemp,MS Dhoni,JA Morkel,R Ashwin,L Balaji,M Muralitharan,S Tyagi
215,Deccan Chargers,2010/03/14,AC Gilchrist,VVS Laxman,HH Gibbs,A Symonds,RG Sharma,TL Suman,Anirudh Singh,WPUJC Vaas,Jaskaran Singh,RP Singh,PP Ojha
216,Kochi Tuskers Kerala,2011/05/15,BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge,OA Shah,RA Jadeja,RP Singh,P Parameswaran,P Prasanth,S Sreesanth,Y Gnaneswara Rao
217,Rajasthan Royals,2011/05/15,FY Fazal,R Dravid,SR Watson,AM Rahane,AL Menaria,PR Shah,JDP Oram,SK Warne,AA Chavan,SW Tait,ND Doshi
218,Pune Warriors,2012/04/26,MK Pandey,JD Ryder,SC Ganguly,RV Uthappa,MN Samuels,SPD Smith,M Manhas,AC Thomas,B Kumar,R Sharma,A Nehra
219,Deccan Chargers,2012/04/26,PA Patel,S Dhawan,CL White,KC Sangakkara,JP Duminy,IR Jaggi,Ankit Sharma,A Ashish Reddy,A Mishra,J Theron,MS Gony
220,Mumbai Indians,2014/05/10,LMP Simmons,CM Gautam,AT Rayudu,RG Sharma,KA Pollard,CJ Anderson,AP Tare,Harbhajan Singh,SL Malinga,JJ Bumrah,P Kumar
221,Chennai Super Kings,2014/05/10,DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,M Manhas,R Ashwin,IC Pandey,MM Sharma,S Badree
222,Rajasthan Royals,2014/05/15,AM Rahane,KK Nair,KK Cooper,SV Samson,STR Binny,BCJ Cutting,JP Faulkner,SPD Smith,R Bhatia,DS Kulkarni,PV Tambe
223,Delhi Daredevils,2014/05/15,KP Pietersen,MA Agarwal,KD Karthik,JP Duminy,MK Tiwary,LRPL Taylor,KM Jadhav,S Nadeem,Imran Tahir,R Shukla,S Kaul
224,Chennai Super Kings,2020/10/13,SM Curran,F du Plessis,SR Watson,AT Rayudu,MS Dhoni,RA Jadeja,DJ Bravo,DL Chahar,PP Chawla,SN Thakur,KV Sharma
225,Sunrisers Hyderabad,2020/10/13,DA Warner,JM Bairstow,MK Pandey,KS Williamson,PK Garg,V Shankar,Rashid Khan,S Nadeem,Sandeep Sharma,T Natarajan,KK Ahmed
226,Royal Challengers Bangalore,2011/05/08,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,CA Pujara,M Kaif,SS Tiwary,DL Vettori,Z Khan,S Aravind,A Mithun
227,Kochi Tuskers Kerala,2011/05/08,M Klinger,BB McCullum,PA Patel,DPMD Jayawardene,BJ Hodge,RA Jadeja,RV Gomez,R Vinay Kumar,RR Powar,RP Singh,P Parameswaran
228,Royal Challengers Bangalore,2020/11/02,JR Philippe,D Padikkal,V Kohli,AB de Villiers,CH Morris,S Dube,Washington Sundar,I Udana,Shahbaz Ahmed,Mohammed Siraj,YS Chahal
229,Delhi Capitals,2020/11/02,PP Shaw,S Dhawan,AM Rahane,SS Iyer,RR Pant,MP Stoinis,AR Patel,DR Sams,R Ashwin,K Rabada,A Nortje
230,Royal Challengers Bangalore,2014/05/04,CH Gayle,PA Patel,V Kohli,RR Rossouw,AB de Villiers,Yuvraj Singh,MA Starc,HV Patel,AB Dinda,VR Aaron,YS Chahal
231,Sunrisers Hyderabad,2014/05/04,AJ Finch,S Dhawan,KL Rahul,DA Warner,DJG Sammy,NV Ojha,IK Pathan,KV Sharma,DW Steyn,B Kumar,I Sharma
232,Kings XI Punjab,2013/05/18,AC Gilchrist,Mandeep Singh,Azhar Mahmood,SE Marsh,DA Miller,M Vohra,Gurkeerat Singh,PP Chawla,P Kumar,P Awana,Sandeep Sharma
233,Mumbai Indians,2013/05/18,GJ Maxwell,AP Tare,AT Rayudu,RG Sharma,KD Karthik,KA Pollard,R Dhawan,Harbhajan Singh,NM Coulter-Nile,SL Malinga,DS Kulkarni
234,Deccan Chargers,2012/05/01,PA Patel,S Dhawan,CL White,KC Sangakkara,JP Duminy,BB Samantray,Ankit Sharma,A Ashish Reddy,A Mishra,DW Steyn,V Pratap Singh
235,Pune Warriors,2012/05/01,MK Pandey,MJ Clarke,SC Ganguly,SPD Smith,RV Uthappa,M Manhas,MN Samuels,WD Parnell,M Kartik,B Kumar,A Nehra
236,Kolkata Knight Riders,2010/03/16,BJ Hodge,MK Tiwary,SC Ganguly,WP Saha,OA Shah,AD Mathews,LR Shukla,RS Gavaskar,SE Bond,M Kartik,I Sharma
237,Chennai Super Kings,2010/03/16,M Vijay,ML Hayden,SK Raina,S Badrinath,MS Dhoni,JM Kemp,JA Morkel,R Ashwin,L Balaji,M Muralitharan,MS Gony
238,Kolkata Knight Riders,2011/04/11,JH Kallis,MS Bisla,G Gambhir,MK Tiwary,YK Pathan,EJG Morgan,RN ten Doeschate,Iqbal Abdulla,R Bhatia,L Balaji,JD Unadkat
239,Deccan Chargers,2011/04/11,S Dhawan,IR Jaggi,B Chipli,KC Sangakkara,JP Duminy,DT Christian,DB Ravi Teja,DW Steyn,A Mishra,I Sharma,PP Ojha
240,Kings XI Punjab,2017/05/07,MJ Guptill,HM Amla,SE Marsh,GJ Maxwell,AR Patel,WP Saha,Gurkeerat Singh,MM Sharma,Sandeep Sharma,VR Aaron,T Natarajan
241,Gujarat Lions,2017/05/07,DR Smith,Ishan Kishan,SK Raina,KD Karthik,AJ Finch,RA Jadeja,JP Faulkner,DS Kulkarni,PJ Sangwan,Basil Thampi,Ankit Soni
242,Delhi Daredevils,2016/05/22,Q de Kock,RR Pant,KK Nair,SV Samson,SW Billings,P Negi,CR Brathwaite,CH Morris,J Yadav,A Mishra,Z Khan
243,Royal Challengers Bangalore,2016/05/22,CH Gayle,V Kohli,AB de Villiers,KL Rahul,SR Watson,STR Binny,Sachin Baby,CJ Jordan,Iqbal Abdulla,S Aravind,YS Chahal
244,Pune Warriors,2011/05/19,JD Ryder,MK Pandey,CJ Ferguson,SC Ganguly,RV Uthappa,Yuvraj Singh,S Rana,WD Parnell,AC Thomas,R Sharma,B Kumar
245,Kolkata Knight Riders,2011/05/19,G Gambhir,SP Goswami,MK Tiwary,YK Pathan,R Bhatia,JH Kallis,RN ten Doeschate,Shakib Al Hasan,B Lee,L Balaji,Iqbal Abdulla
246,Chennai Super Kings,2020/10/23,RD Gaikwad,F du Plessis,AT Rayudu,N Jagadeesan,MS Dhoni,RA Jadeja,SM Curran,DL Chahar,SN Thakur,Imran Tahir,JR Hazlewood
247,Mumbai Indians,2020/10/23,Q de Kock,Ishan Kishan,SA Yadav,SS Tiwary,KH Pandya,HH Pandya,KA Pollard,NM Coulter-Nile,RD Chahar,TA Boult,JJ Bumrah
248,Delhi Capitals,2020/10/20,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,AR Patel,R Ashwin,K Rabada,DR Sams,TU Deshpande
249,Kings XI Punjab,2020/10/20,KL Rahul,MA Agarwal,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,JDS Neesham,M Ashwin,Ravi Bishnoi,Mohammed Shami,Arshdeep Singh
250,Chennai Super Kings,2011/05/18,MEK Hussey,M Vijay,SK Raina,S Badrinath,WP Saha,MS Dhoni,JA Morkel,DJ Bravo,R Ashwin,DE Bollinger,SB Jakati
251,Kochi Tuskers Kerala,2011/05/18,PA Patel,BB McCullum,Y Gnaneswara Rao,BJ Hodge,RA Jadeja,OA Shah,KM Jadhav,R Vinay Kumar,M Muralitharan,RP Singh,S Sreesanth
252,Gujarat Titans,2022/05/03,WP Saha,Shubman Gill,B Sai Sudharsan,HH Pandya,DA Miller,R Tewatia,Rashid Khan,PJ Sangwan,LH Ferguson,AS Joseph,Mohammed Shami
253,Punjab Kings,2022/05/03,JM Bairstow,S Dhawan,PBB Rajapaksa,LS Livingstone,MA Agarwal,JM Sharma,R Dhawan,K Rabada,RD Chahar,Arshdeep Singh,Sandeep Sharma
254,Delhi Daredevils,2008/04/30,G Gambhir,V Sehwag,S Dhawan,Shoaib Malik,KD Karthik,MK Tiwary,R Bhatia,DL Vettori,Mohammad Asif,VY Mahesh,GD McGrath
255,Royal Challengers Bangalore,2008/04/30,P Kumar,W Jaffer,LRPL Taylor,JH Kallis,R Dravid,MV Boucher,V Kohli,Z Khan,DW Steyn,R Vinay Kumar,SB Joshi
256,Mumbai Indians,2013/05/24,DR Smith,AP Tare,KD Karthik,RG Sharma,KA Pollard,AT Rayudu,Harbhajan Singh,R Dhawan,MG Johnson,SL Malinga,PP Ojha
257,Rajasthan Royals,2013/05/24,R Dravid,AM Rahane,SR Watson,SV Samson,STR Binny,BJ Hodge,KK Cooper,DH Yagnik,JP Faulkner,VS Malik,SK Trivedi
258,Royal Challengers Bangalore,2012/05/02,MA Agarwal,CH Gayle,V Kohli,AB de Villiers,AB McDonald,AUK Pathan,SS Tiwary,DL Vettori,R Vinay Kumar,Z Khan,KP Appanna
259,Kings XI Punjab,2012/05/02,Mandeep Singh,SE Marsh,N Saini,DJ Hussey,Azhar Mahmood,AM Nayar,P Dogra,PP Chawla,RJ Harris,P Kumar,P Awana
260,Punjab Kings,2022/04/01,MA Agarwal,S Dhawan,PBB Rajapaksa,LS Livingstone,RA Bawa,M Shahrukh Khan,Harpreet Brar,OF Smith,RD Chahar,K Rabada,Arshdeep Singh
261,Kolkata Knight Riders,2022/04/01,AM Rahane,VR Iyer,SS Iyer,SW Billings,N Rana,AD Russell,SP Narine,TG Southee,UT Yadav,CV Varun,Shivam Mavi
262,Mumbai Indians,2012/05/06,JEC Franklin,SR Tendulkar,RG Sharma,KD Karthik,AT Rayudu,DR Smith,RJ Peterson,Harbhajan Singh,SL Malinga,RP Singh,MM Patel
263,Chennai Super Kings,2012/05/06,M Vijay,F du Plessis,SK Raina,DJ Bravo,MS Dhoni,JA Morkel,RA Jadeja,S Badrinath,R Ashwin,SB Jakati,BW Hilfenhaus
264,Sunrisers Hyderabad,2016/05/06,DA Warner,S Dhawan,KS Williamson,MC Henriques,Yuvraj Singh,DJ Hooda,NV Ojha,B Kumar,BB Sran,A Nehra,Mustafizur Rahman
265,Gujarat Lions,2016/05/06,DR Smith,BB McCullum,SK Raina,KD Karthik,AJ Finch,DJ Bravo,RA Jadeja,P Kumar,PJ Sangwan,DS Kulkarni,S Kaushik
266,Royal Challengers Bangalore,2021/09/26,V Kohli,D Padikkal,KS Bharat,GJ Maxwell,AB de Villiers,DT Christian,Shahbaz Ahmed,KA Jamieson,HV Patel,Mohammed Siraj,YS Chahal
267,Mumbai Indians,2021/09/26,RG Sharma,Q de Kock,Ishan Kishan,SA Yadav,KH Pandya,KA Pollard,HH Pandya,AF Milne,RD Chahar,JJ Bumrah,TA Boult
268,Chennai Super Kings,2013/04/13,MEK Hussey,M Vijay,SK Raina,S Badrinath,MS Dhoni,RA Jadeja,DJ Bravo,CH Morris,R Ashwin,DP Nannes,MM Sharma
269,Royal Challengers Bangalore,2013/04/13,CH Gayle,MA Agarwal,V Kohli,AB de Villiers,DT Christian,R Rampaul,KB Arun Karthik,J Syed Mohammad,R Vinay Kumar,M Kartik,RP Singh
270,Sunrisers Hyderabad,2013/05/19,PA Patel,S Dhawan,GH Vihari,CL White,NLTC Perera,DJG Sammy,BB Samantray,KV Sharma,A Mishra,DW Steyn,Anand Rajan
271,Kolkata Knight Riders,2013/05/19,MS Bisla,G Gambhir,JH Kallis,EJG Morgan,YK Pathan,RN ten Doeschate,P Dogra,SP Narine,Iqbal Abdulla,PJ Sangwan,Mohammed Shami
272,Kochi Tuskers Kerala,2011/05/05,BB McCullum,M Klinger,PA Patel,DPMD Jayawardene,RA Jadeja,BJ Hodge,RV Gomez,R Vinay Kumar,RP Singh,S Sreesanth,P Parameswaran
273,Kolkata Knight Riders,2011/05/05,JH Kallis,EJG Morgan,G Gambhir,MK Tiwary,YK Pathan,MV Boucher,B Lee,R Bhatia,Iqbal Abdulla,S Ladda,JD Unadkat
274,Royal Challengers Bangalore,2011/05/06,CH Gayle,TM Dilshan,V Kohli,AB de Villiers,SS Tiwary,AUK Pathan,M Kaif,A Mithun,DL Vettori,Z Khan,S Aravind
275,Kings XI Punjab,2011/05/06,AC Gilchrist,PC Valthaty,AM Nayar,SE Marsh,KD Karthik,Sunny Singh,R McLaren,PP Chawla,RJ Harris,P Kumar,L Ablish
276,Delhi Capitals,2020/10/31,PP Shaw,S Dhawan,SS Iyer,RR Pant,MP Stoinis,SO Hetmyer,HV Patel,R Ashwin,P Dubey,K Rabada,A Nortje
277,Mumbai Indians,2020/10/31,Ishan Kishan,Q de Kock,SA Yadav,SS Tiwary,KH Pandya,KA Pollard,NM Coulter-Nile,J Yadav,RD Chahar,TA Boult,JJ Bumrah
